component,shape,homo
1,0.26666666666666666,0.26666666666666666
2,0.2,0.4
3,0.2,0.26666666666666666
4,0.2,0.6666666666666666
5,0.2,0.3333333333333333
6,0.2,0.8
7,0.2,0.26666666666666666
8,0.2,0.4666666666666667
9,0.2,0.4666666666666667
10,0.2,0.26666666666666666
11,0.3333333333333333,0.5333333333333333
12,0.2,0.4
13,0.2,0.5333333333333333
14,0.3,0.6666666666666666
15,0.2,0.7
16,0.2,0.4
17,0.2,0.3
18,0.2,0.3333333333333333
19,0.2,0.4666666666666667
20,0.2,0.6666666666666666
21,0.2,0.3333333333333333
22,0.2,0.5333333333333333
23,0.2,0.7333333333333333
24,0.2,0.7333333333333333
25,0.2,0.6
26,0.2,0.3333333333333333
27,0.2,0.4
28,0.2,0.6
29,0.2,0.6
30,0.23333333333333334,0.4
31,0.2,0.6
32,0.2,0.4666666666666667
33,0.2,0.4
34,0.26666666666666666,0.8666666666666667
35,0.3,0.4
36,0.26666666666666666,0.7333333333333333
37,0.2,0.4666666666666667
38,0.26666666666666666,0.3333333333333333
39,0.2,0.4
40,0.2,0.2
41,0.2,0.6333333333333333
42,0.26666666666666666,0.5333333333333333
43,0.2,0.4666666666666667
44,0.2,0.4666666666666667
45,0.2,0.3333333333333333
46,0.2,0.4666666666666667
47,0.2,0.6666666666666666
48,0.26666666666666666,0.3333333333333333
49,0.2,0.6
50,0.2,0.4
51,0.2,0.6666666666666666
52,0.2,0.5333333333333333
53,0.2,0.26666666666666666
54,0.2,0.3333333333333333
55,0.2,0.6
56,0.2,0.4666666666666667
57,0.23333333333333334,0.7333333333333333
58,0.16666666666666666,0.5333333333333333
59,0.2,0.6
60,0.2,0.26666666666666666
61,0.2,0.4
62,0.2,0.4666666666666667
63,0.2,0.4666666666666667
64,0.2,0.5333333333333333
65,0.2,0.7333333333333333
66,0.2,0.5333333333333333
67,0.2,0.36666666666666664
68,0.2,0.5333333333333333
69,0.2,0.4
70,0.2,0.3333333333333333
71,0.2,0.4666666666666667
72,0.2,0.7333333333333333
73,0.2,0.6
74,0.2,0.6666666666666666
75,0.2,0.7333333333333333
76,0.2,0.5333333333333333
77,0.2,0.5333333333333333
78,0.2,0.6
79,0.26666666666666666,0.2
80,0.2,0.5333333333333333
81,0.2,0.3333333333333333
82,0.2,0.4
83,0.2,0.6666666666666666
84,0.2,0.3333333333333333
85,0.2,0.7333333333333333
86,0.2,0.7333333333333333
87,0.2,0.7333333333333333
88,0.23333333333333334,0.5333333333333333
89,0.2,0.5333333333333333
90,0.2,0.7333333333333333
91,0.2,0.5333333333333333
92,0.2,0.5333333333333333
93,0.2,0.4666666666666667
94,0.2,0.7333333333333333
95,0.2,0.7
96,0.2,0.7333333333333333
97,0.2,0.4666666666666667
98,0.2,0.8
99,0.26666666666666666,0.2
100,0.2,0.8
101,0.2,0.7
102,0.2,0.6666666666666666
103,0.2,0.6666666666666666
104,0.23333333333333334,0.4666666666666667
105,0.2,0.4
106,0.2,0.23333333333333334
107,0.2,0.26666666666666666
108,0.2,0.6666666666666666
109,0.2,0.4
110,0.2,0.4
111,0.2,0.5333333333333333
112,0.2,0.4666666666666667
113,0.2,0.6666666666666666
114,0.2,0.43333333333333335
115,0.2,0.4
116,0.2,0.6333333333333333
117,0.3333333333333333,0.5666666666666667
118,0.3,0.4666666666666667
119,0.2,0.6
120,0.2,0.6333333333333333
121,0.2,0.6666666666666666
122,0.3333333333333333,0.6
123,0.2,0.6666666666666666
124,0.2,0.5333333333333333
125,0.2,0.4666666666666667
126,0.23333333333333334,0.26666666666666666
127,0.23333333333333334,0.4666666666666667
128,0.23333333333333334,0.7333333333333333
